severity_rank,severity,area,finding,evidence,confidence,next_action
1,Critical,OSM fetch,"Swiss-only Overpass endpoint is used as a Thailand fallback and valid empty responses are cached.","At 07:18: 43 cached provinces, 11 zero files, and 8 zero files identify Swiss generator 0.7.59.1 with sequence timestamps 116xxx; osm.ch states Switzerland-only coverage.",High,"Remove endpoint; invalidate cache by generator/timestamp; rerun."
2,High,Institution coordinates,"Seven register coordinates are impossible for Thailand.","Four lat/lon swaps and three lost-decimal values, including lat 14342124.",High,"Block out-of-bounds rows and quarantine; repair only from source."
3,High,Scholarship claims,"Target-level scope and eligibility conditions are incomplete.","2569 SLF material uses types 1–3 for target levels; EEF out-of-school route has two-year and nomination conditions.",High,"Split evidence records and carry all material conditions into excerpts."
4,High,Source lineage,"49 reference URLs but only 25 metadata URLs; all 25 metadata rows lack claim_text.","Direct count and required-field profile against RAG_DATA_SPEC.md.",High,"Create one evidence record per atomic claim with direct URL and scope."
5,High,Outcome uncertainty,"Small samples are not guarded by thinly_tracked.","108 rows have tracked<10 without flag; 56/58 perfect 100% outcomes have n<30.",High,"Add tracked_n_small and suppress comparisons below agreed n."
6,High,Reproducibility,"Four new datasets have no committed schema, generation code, exact URLs, retrieval time, license, or raw checksum.","Only four JSON files exist under Geography_and_Access at snapshot time.",High,"Add dataset card/README, schema, raw manifest, and reproducible command."
7,Medium,Transport entities,"Stations mix modes without a type field.","937 QIDs include rail, airports, bus terminals and piers; 252 line null; 46 Thai name null.",Medium,"Add mode and source class; keep QID for disambiguation."
8,Medium,Temporal comparability,"Province population has no as-of date and source statement.","77 rows expose population but only qid/name/coordinates.",High,"Add population_as_of or remove population from this dataset."
9,Medium,Audit freshness,"Audit says four internal files are missing although they now exist.","Brief, Deck, ideas HTML and Thai research README are present with computable SHA-256.",High,"Refresh audit and register checksum/version."
10,Medium,License/status schema,"21/25 licenses are unresolved placeholders; quarantine status values diverge from governance enum.","Metadata profile and SOURCE_POLICY.md comparison.",High,"Resolve reuse terms; separate status=quarantined from reason_code."
